Star,JDs,Radial Velocity
142666,18558.968125,-6.793993999999998
142666,18558.975579,-4.310931
142666,18558.982917,-3.8278110000000005
142666,18559.945833,-2.963866999999997
142666,18559.953241,-3.480044999999997
142666,18559.960741,-2.496724999999998
142666,18560.94169,-3.181189
142666,18560.949039,-2.6972340000000017
142666,18560.956424,-0.7136519999999997
142666,18573.954873,2.186961
142666,18573.962407,0.16840499999999992
142666,18573.969884,-3.350090999999999
142666,18591.840498,-1.3943830000000013
142666,18591.847801,-4.410975999999998
142666,18591.855498,-2.928853
142666,18615.828079,-1.6374949999999995
142666,18615.835498,-0.15685400000000005
142666,18615.842975,0.8234970000000006
142666,18653.831134,-0.3015080000000001
142666,18653.838519,-0.819049999999999
142666,18653.845995,-0.8364549999999991
142666,18684.725926,5.749271
142666,18684.729907,-0.7600060000000006
142666,18684.73228,11.2345
