JD,order 48 radial velocity (km/s),order 49 radial velocity (km/s),order 52 radial velocity (km/s)
18661.718657,-10.278284,-8.778284,-5.778283999999999
18663.708356,-10.112025,-8.112025,-7.612024999999999
18663.715683,-9.130968000000001,-8.130968000000001,-8.630968000000001
18663.723032,-12.150103,-10.150103,-9.650103
18663.73066,-12.170065000000001,-7.170065000000001,-10.170065000000001
18663.738079,-10.189546,-8.189546,-10.689546
18663.745498,-7.209054,-8.709054,-9.209054
18663.859815,-7.987459999999999,-6.987459999999999,-7.487459999999999
18663.866933,-12.001921,-7.501920999999999,-8.001921
18664.690405,-8.490233,-9.990233,-6.990233
18664.717257,-9.559041999999998,-11.559041999999998,-6.559041999999998
18664.72478,-8.07866,-5.078659999999999,-9.07866
18664.732245,-7.598208,-9.098208,-9.598208
18664.776678,-8.214199,-10.714199,-8.214199
18664.816609,-7.813462999999999,-7.313462999999999,-9.313462999999999
18664.843461,-5.374818999999999,-7.874818999999999,-7.374818999999999
18666.705903,-11.863883999999999,-14.363883999999999,-6.863883999999999
18680.796285,-13.283090999999999,-6.783090999999999,-11.783090999999999
18707.751111,-3.618182000000001,-7.118182000000001,0.8818179999999991
